2026-06-03 00:06:28.497 [http-nio-8080-exec-7] INFO  com.example.demo.controller.AuthController - 教师登录成功: 张老师
2026-06-03 00:06:30.055 [http-nio-8080-exec-10] INFO  com.example.demo.controller.UserController - 查询所有用户列表
2026-06-03 00:06:30.058 [http-nio-8080-exec-9] INFO  com.example.demo.controller.RolePermissionController - 根据角色查询权限，角色: TEACHER
2026-06-03 00:06:30.059 [http-nio-8080-exec-10] INFO  com.example.demo.controller.UserController - 查询用户列表成功，共 11 条记录
2026-06-03 00:06:30.063 [http-nio-8080-exec-9] INFO  com.example.demo.controller.RolePermissionController - 查询角色权限成功，角色: TEACHER, 共 7 条记录
2026-06-03 00:06:30.067 [http-nio-8080-exec-1] INFO  com.example.demo.controller.StudentController - 查询所有学生列表
2026-06-03 00:06:30.067 [http-nio-8080-exec-3] INFO  com.example.demo.controller.TeacherController - 查询所有教师列表
2026-06-03 00:06:30.067 [http-nio-8080-exec-2] INFO  com.example.demo.controller.ProductController - 查询所有商品列表
2026-06-03 00:06:30.070 [http-nio-8080-exec-5] INFO  com.example.demo.controller.UserController - 查询所有用户列表
2026-06-03 00:06:30.071 [http-nio-8080-exec-6] INFO  com.example.demo.controller.AnnouncementController - 查询公告列表，筛选条件 - 标题: null, 推送对象: null, 发布人: null, 状态: 已发布
2026-06-03 00:06:30.071 [http-nio-8080-exec-2] INFO  com.example.demo.controller.ProductController - 查询商品列表成功，共 6 条记录
2026-06-03 00:06:30.071 [http-nio-8080-exec-1] INFO  com.example.demo.controller.StudentController - 查询学生列表成功，共 7 条记录
2026-06-03 00:06:30.073 [http-nio-8080-exec-5] INFO  com.example.demo.controller.UserController - 查询用户列表成功，共 11 条记录
2026-06-03 00:06:30.075 [http-nio-8080-exec-3] INFO  com.example.demo.controller.TeacherController - 查询教师列表成功，共 5 条记录
2026-06-03 00:06:30.075 [http-nio-8080-exec-6] INFO  com.example.demo.controller.AnnouncementController - 查询公告列表成功，共 2 条记录
2026-06-03 00:06:45.545 [http-nio-8080-exec-4] INFO  com.example.demo.controller.AnnouncementController - 查询公告列表，筛选条件 - 标题: null, 推送对象: null, 发布人: null, 状态: 已发布
2026-06-03 00:06:45.548 [http-nio-8080-exec-4] INFO  com.example.demo.controller.AnnouncementController - 查询公告列表成功，共 2 条记录
2026-06-03 00:06:48.809 [http-nio-8080-exec-7] INFO  com.example.demo.controller.AnnouncementController - 查询公告详情，ID: 1
2026-06-03 00:06:51.528 [http-nio-8080-exec-8] INFO  com.example.demo.controller.AnnouncementController - 查询公告详情，ID: 2
2026-06-03 00:06:55.617 [http-nio-8080-exec-9] INFO  com.example.demo.controller.AnnouncementController - 查询公告列表，筛选条件 - 标题: null, 推送对象: null, 发布人: null, 状态: 已发布
2026-06-03 00:06:55.620 [http-nio-8080-exec-9] INFO  com.example.demo.controller.AnnouncementController - 查询公告列表成功，共 2 条记录
2026-06-03 00:07:00.632 [http-nio-8080-exec-10] INFO  com.example.demo.controller.AnnouncementController - 查询公告列表，筛选条件 - 标题: null, 推送对象: null, 发布人: null, 状态: 已发布
2026-06-03 00:07:00.635 [http-nio-8080-exec-10] INFO  com.example.demo.controller.AnnouncementController - 查询公告列表成功，共 2 条记录
2026-06-03 00:10:32.595 [SpringApplicationShutdownHook] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
